id,name,brand,category,color,description,price,units_sold
1,Ceramic Mug,Muji,Wearables,Olive,A premium ceramic mug crafted with attention to detail.,194.33,323
2,Wall Clock,Normann,Wearables,White,A premium wall clock crafted with attention to detail.,272.1,402
3,Leather Pouch,Muji,Wearables,Charcoal,A premium leather pouch crafted with attention to detail.,32.48,164
4,Ceramic Mug,Ferm Living,Home,Natural,A premium ceramic mug crafted with attention to detail.,113.76,156
5,Linen Throw,Normann,Wearables,Natural,A premium linen throw crafted with attention to detail.,66.36,213
6,Leather Pouch,Aesop,Tools,Black,A premium leather pouch crafted with attention to detail.,296.92,188
7,Notebook Set,Ferm Living,Wearables,Natural,A premium notebook set crafted with attention to detail.,256.31,367
8,Notebook Set,Aesop,Wearables,Natural,A premium notebook set crafted with attention to detail.,251.5,471
9,Ceramic Mug,Ferm Living,Tools,White,A premium ceramic mug crafted with attention to detail.,115.31,78
10,Aroma Diffuser,HAY,Living,Black,A premium aroma diffuser crafted with attention to detail.,301.99,365
